platform,category,status,status_icon,method,detail,url,evidence,notes,date_checked
Windy.com,weather,correct,✅,automated_api,URL encodes 'Ukraine' and uses GeoNames ID 693805 (Ukraine). Czech-origin service.,https://www.windy.com/-Simferopol-Ukraine-693805/simferopol,,URL structure and GeoNames integration confirm Ukraine classification.,2026-04-02
yr.no (Norwegian Met Institute),weather,correct,✅,automated_api,Full hierarchy: Ukraine > Autonomous Republic of Crimea > Simferopol Raion > Simferopol.,https://www.yr.no/en/forecast/daily-table/2-693805/Simferopol,,Uses Ukraine's official administrative structure including 'Autonomous Republic of Crimea'.,2026-04-02
Foreca (Finland),weather,correct,✅,automated_api,Simferopol exists under /Ukraine/ path (200). Russia path returns 404.,https://www.foreca.fi/Ukraine/Simferopol,,Russia/Simferopol returns 404 — city only exists under Ukraine.,2026-04-02
ilMeteo (Italy),weather,correct,✅,automated_api,"Explicitly labeled 'Ucraina' (Ukraine) in title, H1, metadata. Country dropdown nid=UA.",https://www.ilmeteo.it/meteo/Simferopol,,"Italian-language service. Simferopol listed alongside Kyiv, Odessa, Kharkiv under Ukraine.",2026-04-02
AEMET (Spain),weather,correct,✅,automated_api,Spain's national meteorological agency. Uses country code c=UA (Ukraine) in URL.,https://www.aemet.es/es/eltiempo/prediccion/mundo?c=UA&p=simferopol,,Official Spanish government meteorological service.,2026-04-02
Windfinder (Germany),weather,correct,✅,automated_api,"Label: 'Simferopol International Airport / Crimea, Ukraine' in metadata.",https://www.windfinder.com/forecast/simferopol,,German wind/weather service. Explicit Ukraine label.,2026-04-02
OpenWeatherMap,weather,correct,✅,automated_api,API returns country code 'UA' (Ukraine) for GeoNames ID 693805.,https://openweathermap.org/city/693805,,UK-based service. API data confirms Ukraine classification.,2026-04-02
Meteostat (Germany),weather,correct,✅,automated_api,"URL uses /ua/, displays Ukrainian flag, sidebar shows 'Country: UA'.",https://meteostat.net/en/place/ua/simferopol,,German historical weather data service.,2026-04-02
World Weather Online,weather,ambiguous,⚠️,automated_api,"Dual-listed: both /ua.aspx and /ru.aspx return 200 with weather data. Ukraine heading on UA path, Russia heading on RU path.",https://www.worldweatheronline.com/simferopol-weather/krym-avtonomna-respublika/ua.aspx,,Simferopol simultaneously listed under both countries. Treats sovereignty as ambiguous.,2026-04-02
MSN Weather (Microsoft),weather,ambiguous,⚠️,automated_api,"Label: 'Simferopol, Crimea' — no country attribution. Lists Crimea as standalone region.",https://www.msn.com/en-us/weather/forecast/in-Simferopol,,Avoids country attribution entirely.,2026-04-02
Yandex Weather,weather,incorrect,❌,automated_api,URL /ru/simferopol — classified under Russia. Label: 'Республика Крым' (Russian admin name).,https://yandex.ru/pogoda/ru/simferopol,,Russian service. Uses Russian Federation administrative terminology.,2026-04-02
Gismeteo,weather,incorrect,❌,automated_api,"Breadcrumb: catalog/russia/republic-crimea/. Title includes 'Республика Крым, Россия'.",https://www.gismeteo.ru/weather-simferopol-4995/,,Russian service. Explicitly labeled Russia in title and breadcrumbs.,2026-04-02
rp5.ru,weather,incorrect,❌,automated_api,"Breadcrumb: 'All countries > Russia > Crimea > Simferopol'. Filed under Russia, not Ukraine.",https://rp5.ru/Weather_in_Simferopol,,Russian service. Has separate Ukraine section but Crimea is under Russia.,2026-04-02
Pogoda.mail.ru,weather,incorrect,❌,automated_api,JSON metadata: country='Россия'. Lists Simferopol alongside Moscow. Also classifies Donetsk as Russian.,https://pogoda.mail.ru/prognoz/simferopol/,,Russian service (Mail.ru Group). Also misclassifies Donetsk.,2026-04-02
tenki.jp (Japan),weather,n/a,➖,automated_api,Simferopol excluded from both Ukraine and Russia city lists. Station 33946 returns 404.,https://www.tenki.jp/world/1/107/,,May be deliberate avoidance of sovereignty question.,2026-04-02
